name,price,energy,fat,sfa,mufa,pufa,omega6,omega3,epa_dha,epa,dha,carbs,sugar,fibre,protein,histidine,isoleucine,leucine,lysine,methionine,cysteine,met_cys,phenylalanine,tyrosine,phe_tyr,threonine,tryptophan,valine,vitamina,vitamind,vitamine,vitamink,vitaminc,vitaminb1,vitaminb2,vitaminb3,vitaminb4,vitaminb5,vitaminb6,vitaminb8,vitaminb9,vitaminb12,calcium,chloride,chromium,copper,fluoride,iodine,iron,magnesium,manganese,molybdenum,phosphorus,potassium,selenium,sodium,zinc
Impact Whey Protein,0.0096759,4.12,0.075,0.05,0,0,0,,0.0,,,0.04,0.04,0.0,0.82,0.017,0.064,0.106,0.096,0.022000000000000002,0.022000000000000002,0.044000000000000004,0.03,0.026000000000000002,0.055999999999999994,0.067,0.013999999999999999,0.059000000000000004,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,
Impact Whey Isolate,0.0129987,3.73,0.003,0.003,0,0,0,,0.0,,,0.025,0.025,,0.9,0.0165,0.0676,0.1041,0.0908,0.0209,0.0172,0.0381,0.0308,0.027999999999999997,0.0588,0.066,0.0215,0.0554,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,
Vegan Protein Blend,0.009998,3.66,0.018,0.001,0,0,0,,0.0,,,0.14,0.003,0.015,0.73,0.0219,0.0418,0.07769999999999999,0.0633,,,0.0147,,,0.076,0.031200000000000002,0.008,0.0452,,,,,,,,,,,,,,,,4.02,,,,,,,,,,,,2.68,
Hydrolysed Beef Protein,0.0106574,4.06,0.019,0.009,0,0,0,,0.0,,,0.001,,,0.97,0.01,0.018000000000000002,0.038,0.0,0.009000000000000001,0.001,0.01,0.025,0.013999999999999999,0.039,0.0,0.0,0.03,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,7.2,
Iso:Pro Whey Protein,0.0181974,3.8,0.017,0.01,0,0,0,,0.0,,,0.0,,,0.95,0.022000000000000002,0.054000000000000006,0.11900000000000001,0.111,0.023,0.03,0.053,0.055,0.035,0.09,0.044000000000000004,0.027000000000000003,0.055,,,,,,,,,,,,,,,,11.22,,,,,,,,,,,,7.48,
Soy Protein Isolate,0.006598,3.6,0.015,0.005,0,0,0,,0.0,,,0.018000000000000002,0.005,,0.9,0.023,0.04,0.066,0.052000000000000005,0.011000000000000001,0.006,0.017,0.045,0.027000000000000003,0.07200000000000001,0.03,0.011000000000000001,0.042,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,
Collagen Protein,0.0162435,3.6,0.0,0.0,0,0,0,0.0,0.0,,,0.0,,,0.9,0.011000000000000001,0.015,0.027000000000000003,0.035,0.009000000000000001,0.0,0.009000000000000001,0.021,0.01,0.031,0.019,0.0,0.024,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.04,
Vitamin B12 Tablets,0.03330556,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,1000.0,,0.0,,,,,,,,,,,,0.0,
Calcium & Magnesium Tablets,0.05553703666666667,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,266.6666666666667,0.0,,,,,,125.0,,,,,,0.0,
All-Natural Peanut Butter,0.0042185,6.13,0.48,0.082,0,0,0,,0.0,,,0.12,0.057,0.07200000000000001,0.3,,,,,,,0.0,,,0.0,,,,,,,,,,,0.16,,,,1.01,,,,0.0,,0.0082,,,,1.95,,,4.25,,,0.0,0.034
Powdered Peanut Butter,0.0324638889,3.98,0.094,0.013000000000000001,0,0,0,,0.0,,,0.26,0.17,0.098,0.48,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,5.04,,,,,,,,,,,,3.36,
Organic Peanut Butter,0.0077935,5.96,0.46,0.08199999999999999,0,0,0,,0.0,,,0.12,0.059000000000000004,0.085,0.3,,,,,,,0.0,,,0.0,,,,,,,,,,,0.131,,,,1.3,,,,0.0,,0.0064,,,,1.9,,,4.2,,,0.0,0.033
All-Natural Almond Butter,0.0094185,6.53,0.56,0.044000000000000004,0.34,0.14,0,,0.0,,,0.065,0.04,0.12,0.25,,,,,,,0.0,,,0.0,,,,,,0.24,,,,,,,,,,,,,0.0,,,,,,2.69,,,,,,0.0,
All-Natural Cashew Butter,0.0123435,6.39,0.53,0.1,0.29,0.11,0,,0.0,,,0.18,0.054000000000000006,0.042,0.2,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.05,2.4,,,4.9,,,0.0,0.055
Protein Brownie,0.74958333,287.0,9.7,4.2,0,0,0,,0.0,,,27.0,4.0,2.0,23.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,120.0,
Vitamin D3 Softgels,0.01804167,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,62.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Extreme Gainer Blend,0.0064987,4.02,0.062,0.005,0,0,0,,0.0,,,0.5,0.14,,0.28,,,,,,,0.0,,,0.0,,,,4.01,,0.061799999999999994,,0.4117,0.005699999999999999,0.0072,0.0823,,,0.007209999999999999,,1.71666667,0.0127,,1.8,,,,0.76,,1.9298,,,,,,1.2,
Clear Whey Isolate,0.04398,3.34,0.005,0.002,0,0,0,,0.0,,,0.027000000000000003,0.01,,0.8,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.4,
Protein Cookie,1.08279167,320.0,9.9,3.9,0,0,0,,0.0,,,20.0,7.3,,38.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,336.0,,,,,,,,,,,,224.0,
Essential BCAA 2:1:1 Powder,0.027495,0.0,0,0,0,0,0,,0.0,,,,,,0.0,,0.25,0.5,,,,0.0,,,0.0,,,0.25,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Immune Health,0.24905833,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,5.0,22.0,,160.0,,,,,,,,,,,0.0,,,,,,,,,,,35.0,0.0,7.5
Vitamin C Plus Tablets,0.04719444,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1000.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Weight Gainer Blend,0.004799,3.88,0.062,0.013000000000000001,0,0,0,,0.0,,,0.5,0.026000000000000002,0.038,0.314,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,1.6,
Baked Protein Cookie,0.70791667,289.0,8.6,3.9,0,0,0,,0.0,,,38.0,16.0,3.9,13.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,212.0,
A-Z Multivitamin Tablets,0.08659444,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,800.0,10.0,12.0,75.0,80.0,1.1,1.4,16.0,,6.0,1.4,50.0,333.333333,2.5,200.0,0.0,40.0,1.0,,150.0,14.0,100.0,2.0,50.0,,,55.0,0.0,10.0
Layered Protein Bar — Drumstick,2.49833333,215.0,7.7,3.3,0,0,0,,0.0,,,18.0,2.3,7.1,20.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,576.0,,,,,,,,,,,,384.0,
Total Protein Blend,0.006999,3.92,0.047,0.015,0,0,0,,0.0,,,0.04,0.03,,0.83,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,0.64,
Multivitamin,0.05620833,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,5.0,32.0,13.0,40.0,6.3,6.3,12.5,,25.0,6.3,75.0,333.333333,2.6,175.0,0.0,48.0,0.25,,,7.0,,,,,,50.0,0.0,7.5
Protein Meal Replacement Blend,0.007298,3.92,0.13,0.062,0,0,0,,0.0,,,0.34,0.27,0.08,0.34,,,,,,,0.0,,,0.0,,,,5.5,0.043,0.094,0.58,0.64,0.009000000000000001,0.019,0.15,,0.052000000000000005,0.013000000000000001,0.41,2.76666667,0.025,7.58,10.16,0.31,0.007,0.028,1.14,0.15,2.65,0.016,0.53,5.23,,0.47,7.2,0.087
Thermopure,0.07219443333333334,0.26666666666666666,0,0,0,0,0,,0.0,,,,,,0.06666666666666667,,,,,,,0.0,,0.06666666666666667,0.06666666666666667,,,,,,,,,,,,,,1.6666666666666667,,,7.0,,0.0,40.0,,,,,,,,,,,0.0,
Lean Cookie,1.00154167,194.0,3.0,1.3,0,0,0,,0.0,,,16.0,3.6,1.0,25.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,140.0,
Vegan Omega 3 Softgels,0.12635278,3.375,0.375,0,0,0.375,0,0.375,0.375,0.125,0.25,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Cod Liver Oil Softgels,0.03883333,1.35,0.15,0,0,0,0,0.15,0.15,0.07,0.08,,,,,,,,,,,0.0,,,0.0,,,,800.0,5.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Omega 3-6-9 Softgels,0.054125,8.91,0.99,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,10.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Multivitamin Gummies,0.23316667,0,0,0,0,0,0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,300.0,5.0,6.7,,40.0,,,,,1.5,0.5,30.0,200.0,2.0,,0.0,,,,20.0,,,,,,,,0.0,1.5
Whole Fuel Blend,0.0077973999999999995,4.23,0.15,0.018000000000000002,0,0,0,,0.0,,,0.4,0.039,0.11,0.3,,,,,,,0.0,,,0.0,,,,2.3,0.017,0.04,,0.27,0.0033,0.004,0.06,,0.016,0.005,0.14,1.11666667,0.006,3.39,5.3,0.134,0.003,0.012,0.3,0.053,0.83,0.007,0.167,3.34,7.83,0.183,3.0,0.03
Omega-3 Plus Softgels,0.085774,9.0,1.0,0,0,1.0,0,1.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
