name,Impact Whey Protein,Impact Whey Isolate,Vegan Protein Blend,Hydrolysed Beef Protein,Iso:Pro Whey Protein,Soy Protein Isolate,Collagen Protein,Vitamin B12 Tablets,Calcium & Magnesium Tablets,All-Natural Peanut Butter,Powdered Peanut Butter,Organic Peanut Butter,All-Natural Almond Butter,All-Natural Cashew Butter,Protein Brownie,Vitamin D3 Softgels,Extreme Gainer Blend,Clear Whey Isolate,Protein Cookie,Essential BCAA 2:1:1 Powder,Immune Health,Vitamin C Plus Tablets,Weight Gainer Blend,Baked Protein Cookie,A-Z Multivitamin Tablets,Layered Protein Bar — Drumstick,Total Protein Blend,Multivitamin,Protein Meal Replacement Blend,Thermopure,Lean Cookie,Vegan Omega 3 Softgels,Cod Liver Oil Softgels,Omega 3-6-9 Softgels,Multivitamin Gummies,Whole Fuel Blend,Omega-3 Plus Softgels,Essential Omega-3,Omega Balance Softgels,Daily Multivitamin Tablets,Organic Chia Super Seeds,Omega-3 Elite,Krill Oil Capsules,Myvitamins Lutein+,Algae Oil Capsules,Diet Protein Blend,Vitamin B Plus,Raspberry Extract Capsules,Vitacholine,100% Dextrose Glucose Carbs,100% Instant Oats,Recovery Gel Elite,100% Cyclic-Dextrin Carbs,100% Maltodextrin Carbs,Oats & Whey Protein Bar,Vitafiber,Oatbran,100% Rolled Oats,100% Gluten-Free Rolled Oats,100% Gluten-Free Instant Oats,100% Waxy Maize Starch,Lean Flapjack,Protein Flapjack,Energy Gel Elite,Electrolytes Plus Tablets,Organic Cacao Powder,Potassium Tablets,CLA Capsules,Impact EAA,100% L-Lysine Powder,100% NAC Powder,Organic Cacao Nibs,Jimmy Joy Plenny Shake Active V3.0 Neutral,Jimmy Joy Plenny Shake v3.0,Huel Powder v3.0,Huel Black Edition,Deluxe Kolymvari Extra Virgin Olive Oil
price,0.0096759,0.0129987,0.009998,0.0106574,0.0181974,0.006598,0.0162435,0.03330556,0.05553703666666667,0.0042185,0.0324638889,0.0077935,0.0094185,0.0123435,0.74958333,0.01804167,0.0064987,0.04398,1.08279167,0.027495,0.24905833,0.04719444,0.004799,0.70791667,0.08659444,2.49833333,0.006999,0.05620833,0.007298,0.07219443333333334,1.00154167,0.12635278,0.03883333,0.054125,0.23316667,0.0077973999999999995,0.085774,0.020495,0.098774,0.04719444,0.0129783333,0.137774,0.04598,0.21645,0.18048333,0.015587,0.05275,0.09719444,0.27766667,0.001699,0.001099,1.73279167,0.0162435,0.001349,0.72186111,0.011687000000000001,0.001798,0.001799,0.001799,0.0019486999999999998,0.0033989999999999997,0.97445833,0.97445833,0.714675,0.0305278,0.01398,0.03849444,0.055277778,0.039,0.04998,0.00445,0.018968,0.01276595744680851,0.011354166666666667,0.011000000000000001,0.013555555555555555,0.00598
energy,4.12,3.73,3.66,4.06,3.8,3.6,3.6,,,6.13,3.98,5.96,6.53,6.39,287.0,,4.02,3.34,320.0,0.0,,,3.88,289.0,,215.0,3.92,,3.92,0.26666666666666666,194.0,3.375,1.35,8.91,,4.23,9.0,2.7,9.0,,4.59,6.84,2.88,,1.8,3.81,,,,4.0,3.84,143.0,3.81,4.0,324.0,2.02,3.64,3.66,3.66,3.66,3.54,163.0,324.0,100.0,,3.53,,7.2,,,,6.04,4.25531914893617,4.166666666666667,4.0,4.444444444444445,8.25
fat,0.075,0.003,0.018,0.019,0.017,0.015,0.0,,,0.48,0.094,0.46,0.56,0.53,9.7,,0.062,0.005,9.9,,,,0.062,8.6,,7.7,0.047,,0.13,,3.0,0.375,0.15,0.99,,0.15,1.0,0.3,1.0,,0.33,0.76,0.32,,0.2,0.025,,,,,0.077,0.1,,,9.7,,0.094,0.084,0.062,0.062,0.001,3.0,11.0,,,0.11,,0.8,,,,0.5,0.1595744680851064,0.15625,0.13,0.2,0.9159999999999999
sfa,0.05,0.003,0.001,0.009,0.01,0.005,0.0,,,0.082,0.013000000000000001,0.08199999999999999,0.044000000000000004,0.1,4.2,,0.005,0.002,3.9,,,,0.013000000000000001,3.9,,3.3,0.015,,0.062,,1.3,,,,,0.018000000000000002,,,,,0.035,,,,,0.006,,,,,0.013999999999999999,0.1,,,3.6,,0.018000000000000002,0.013000000000000001,0.01,0.01,0.0,1.2,5.5,,,0.068,,,,,,0.34,0.024468085106382976,0.02395833333333333,0.023,0.02888888888888889,0.151
mufa,,,,,,,0.0,,,,,,0.34,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.030000000000000002,0.7
pufa,,,,,,,0.0,,,,,,0.14,0.11,,,,,,,,,,,,,,,,,,0.375,,,,,1.0,0.3,1.0,,0.25,0.76,0.12,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.078,0.14444444444444443,0.065
omega6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.034,0.06333333333333334,
omega3,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.15,,,,1.0,0.3,1.0,,0.187,0.76,0.11,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037000000000000005,0.07222222222222222,
epa_dha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.15,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.62,0.088,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
epa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.07,,,,,0.18,0.4,,,0.53,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.08,,,,,0.12,0.3,,,0.09,0.028,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbs,0.04,0.025,0.14,0.001,0.0,0.018000000000000002,0.0,,,0.12,0.26,0.12,0.065,0.18,27.0,,0.5,0.027000000000000003,20.0,,,,0.5,38.0,,18.0,0.04,,0.34,,16.0,,,,,0.4,,,,,0.023,,,,,0.065,,,,1.0,0.62,20.0,0.97,1.0,44.0,0.05,0.473,0.56,0.61,0.61,0.88,25.0,32.0,25.0,,0.2,,,,,,0.18,0.3723404255319149,0.4479166666666667,0.37,0.14444444444444443,
