name,energy,fat,sfa,mufa,pufa,omega6,omega3,epa_dha,epa,dha,carbs,sugar,fibre,protein,histidine,isoleucine,leucine,lysine,methionine,cysteine,met_cys,phenylalanine,tyrosine,phe_tyr,threonine,tryptophan,valine,vitamina,vitamind,vitamine,vitamink,vitaminc,vitaminb1,vitaminb2,vitaminb3,vitaminb4,vitaminb5,vitaminb6,vitaminb8,vitaminb9,vitaminb12,calcium,chloride,chromium,copper,fluoride,iodine,iron,magnesium,manganese,molybdenum,phosphorus,potassium,selenium,sodium,zinc
Deluxe Kolymvari Extra Virgin Olive Oil,8.25,0.916,0.151,0.7,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huel Black Edition,4.444444444444445,0.2,0.0288888888888888,0.03,0.1444444444444444,0.0633333333333333,0.0722222222222222,0.0,0.0,0.0,0.1444444444444444,0.0144444444444444,0.0822222222222222,0.4555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0444444444444444,0.0333333333333333,0.3888888888888889,0.6666666666666666,0.0026666666666666,0.0031111111111111,0.0355555555555555,1.3333333333333333,0.0133333333333333,0.0037777777777777,0.1333333333333333,0.8888888888888888,0.0088888888888888,2.888888888888889,1.7777777777777777,0.1,0.0055555555555555,0.0,0.3333333333333333,0.0844444444444444,0.9777777777777776,0.0133333333333333,0.4222222222222222,4.0,7.333333333333333,0.3333333333333333,4.888888888888889,0.0411111111111111
Huel Powder v3.0,4.0,0.13,0.023,0.024,0.078,0.034,0.037,0.0,0.0,0.0,0.37,0.006,0.072,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.04,0.03,0.35,0.6,0.0024,0.0028,0.032,1.16,0.012,0.0034,0.1,0.8,0.008,2.6,1.6,0.08,0.0026,0.0,0.3,0.08,0.92,0.013,0.34,3.7,7.0,0.2,2.84,0.036
Jimmy Joy Plenny Shake Active V3.0 Neutral,4.25531914893617,0.1595744680851064,0.0244680851063829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723404255319149,0.0351063829787234,0.0776595744680851,0.2797872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.702127659574468,0.0531914893617021,0.0425531914893617,0.1702127659574468,0.3191489361702128,0.0042553191489361,0.0031914893617021,0.0382978723404255,0.0,0.0138297872340425,0.0042553191489361,0.1063829787234042,1.0638297872340423,0.0340425531914893,1.9680851063829787,2.9680851063829787,0.0851063829787234,0.0042553191489361,0.0,0.3191489361702128,0.0340425531914893,0.7978723404255319,0.0106382978723404,0.1382978723404255,1.4893617021276595,4.25531914893617,0.1914893617021276,1.2340425531914894,0.0212765957446808
Jimmy Joy Plenny Shake v3.0,4.166666666666667,0.15625,0.0239583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479166666666667,0.0333333333333333,0.0854166666666666,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0520833333333333,0.0416666666666666,0.1666666666666666,0.3125,0.0041666666666666,0.0031249999999999,0.0375,0.0,0.0135416666666666,0.0041666666666666,0.1041666666666666,1.0416666666666667,0.0333333333333333,1.9270833333333333,2.90625,0.0833333333333333,0.0041666666666666,0.0,0.3125,0.0333333333333333,0.78125,0.0104166666666666,0.1354166666666666,1.4583333333333333,4.166666666666667,0.1875,1.25,0.0208333333333333
100% Gluten-Free Instant Oats,3.66,0.062,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.012,0.0969999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
Immune Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,7.5
Layered Protein Bar — Drumstick,215.0,7.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.3,7.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0
Multivitamin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,13.0,40.0,6.3,6.3,12.5,0.0,25.0,6.3,75.0,333.333333,2.6,175.0,0.0,48.0,0.25,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,7.5
Oatbran,3.64,0.094,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.012,0.182,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
